component,purpose,anatomy,variants,interaction_states,data_contract,responsive_contract,accessibility_contract,owning_task
EvidenceViewer,Inspect hashed visual or log evidence safely,"thumbnail; caption; hash; verified subject; open action","image; recording; trace; report; redacted log","loading;empty;error;permission;degraded",allowlisted evidence descriptor from candidate or qa-evidence /api/ui/v1 envelope,"single tile at 390; 2 at 834; 3 at 1440","alt and caption; no autoplay; transcript for recording",task_84
DependencyList,Explain blocked-by and enables,"relationship heading; linked task rows; state","blocked-by; enables","loading;empty;error;stale",GET /api/ui/v1/tasks/:id/dependencies with bounded page and opaque cursor,"stacked at 390; 2 columns at 834 plus","lists are canonical; optional graph hidden from AT",task_83
RunTable,Summarize execution without prompt exposure,"role; state; attempt; duration; subject; safe error summary","active; completed; failed; quarantined","loading;empty;error;stale;permission;degraded",GET /api/ui/v1/tasks/:id/runs with default 50 maximum 100 and capability-filtered diagnostics,"rows at 390; table from 834","caption; headers; running status polite; no auto focus",task_83
DiagnosticsDisclosure,Gate operator-only details,"warning; summary; authorization state; redacted prompt/run payload","closed; open; permission denied","closed;open;loading;error;permission",operator capability from /api/ui/v1 tasks runs or operations envelope,"secondary and collapsed all sizes","details summary; permission message; copy named and disabled by default",task_83
DecisionGroup,Group owner queue by consequence,"heading; count; compact rows; empty message","QA; release; exception; incident","loading;empty;error;stale;permission;degraded",GET /api/ui/v1/actions group slice with default 50 maximum 100 and opaque cursor,"one column at all sizes; optional two columns only across groups at 1440","named section; count text; new urgent item polite",task_84
DecisionRow,Offer one obvious next action,"type icon; title; age and SLA; acknowledgement history; status; one primary action; More menu","QA; release; exception; incident; overdue","default;hover;focus;disabled;loading;error;stale;permission",one action from bounded envelope plus server-authorized capability and stateVersion,"stack with action full width at 390; metadata and action grid at 834 and 1440","44 px touch targets; exactly one visible primary; More menu arrows Escape restore focus; urgency not color-only",task_84
IntegrityBanner,Prove candidate identity before decision,"verified icon; status text; candidate; digest; source; integration; preview commit","verified; invalid; incomplete; stale","loading;error;stale;permission;degraded",GET /api/ui/v1/qa/candidates/:id manifest-bound data,"stack keys at 390; wrap 834; inline 1440","status plus icon; invalid is alert; digest readable and copy label",task_84
QAPacket,Map full candidate handoff,"affected surfaces; criteria/test steps; accounts/fixtures; reset; evidence; risks; migrations; flags; rollback; links","complete; incomplete; partial reissued","loading;empty;error;offline;stale;permission;degraded",GET /api/ui/v1/qa/candidates/:id bounded packet under 150 KB raw,"single column 390; main/side 834; main/inspector 1440","ordered steps and expected results; headings; incomplete fields listed",task_84
CriteriaEvidenceRow,Bind one criterion to exact evidence,"criterion; ordered steps; expected outcome; evidence links; subject SHA; result","pending; verified; failed; unavailable","default;expanded;loading;error;stale",criterion descriptor from manifest-bound candidate or task qa-evidence envelope,"disclosure at 390; row/detail 834 plus","button disclosure; result text plus icon; links named by evidence",task_84
StatusBadge,Summarize human-readable state,"icon slot; label; optional age","neutral; success; warning; danger; info","default;loading;stale",semantic state from current route data plus generatedAt and stateVersion,"wraps without truncation","not color only; decorative icon hidden",task_120
Button,Trigger one bounded action,"label; optional leading icon; progress","primary; secondary; quiet; danger; icon-only","default;hover;focus-visible;active;disabled;loading;success;error",server capability allowed reasonCode expected stateVersion and idempotency requirement,"24 px desktop minimum; 44 px touch minimum; full width only when hierarchy benefits at 390","native button; accessible name; disabled reason adjacent; 3 px focus ring",task_120
Menu,Hide secondary row actions,"trigger; menu; items; separators","action; navigation","closed;open;hover;focus;disabled",checksum labels plus route or server-authorized capability from current envelope,"popover aligned to viewport","button aria-expanded; arrow navigation; Escape; outside close; focus restoration",task_120
FormField,Capture owner input with durable labels,"label; input; help; error; status","text; textarea; select; checkbox; radio","default;hover;focus;filled;disabled;read-only;invalid;loading",checksum labels plus constraints and capabilities from current /api/ui/v1 envelope,"stack all sizes; field groups may grid from 834","label association; describedby; required text; error summary",task_120
DataTable,Compare structured work,"caption; header; rows; sort; pagination; empty/error body","standard; compact; selectable","default;hover;focus;selected;loading;empty;error;stale",versioned page envelope with default 50 maximum 100 opaque cursor and stable updated_at plus id order,"row cards below 768 when relationships remain explicit; table above","caption; th scope; sort aria-sort; selection labeled",task_120
Board,View work by lifecycle lane,"lane headings; counts; ordered task links; load more","stage; project","default;drag-unavailable;loading;empty;error;stale",GET /api/ui/v1/work board columns with 25 cards and independent opaque cursors,"not used at 390 default; horizontal optional at 834; multi-column 1440","no drag-only control; equivalent list view always available",task_120
Dialog,Confirm consequential decision,"title; consequence; immutable subject; body; cancel; primary","confirm; danger; detail","closed;open;submitting;success;error;stale;permission",server capability plus candidate identity expected stateVersion and owner authority,"inset full-width 390; max 560 834 plus","native dialog; initial focus on title/cancel per risk; trap; Escape; restore trigger",task_120
FeedbackBanner,Explain route-wide state,"icon; title; detail; safe retry","offline;stale;permission;degraded;error","default;focus;retrying",schemaVersion generatedAt stateVersion page and capabilities from current envelope,"full route width all sizes","status or alert by urgency; no repeated announcements; icon plus text",task_120
Skeleton,Reserve layout while loading,"shape blocks; hidden loading label","row; card; table; header","loading",expected geometry for requested bounded /api/ui/v1 projection,"matches final geometry at each breakpoint","aria-hidden shapes plus one role=status label; respects reduced motion",task_120
EmptyState,Explain a legitimate absence,"heading; guidance; optional one action","first-use; filtered; completed","default",empty bounded data plus server-authorized capability from current envelope,"compact; never full-screen decorative art","heading; actionable guidance; no celebratory motion requirement",task_120
ErrorState,Explain failure without raw exception leakage,"heading; safe summary; reference ID; retry/back action","inline; route; permission; degraded","default;retrying",safe projection error code and retry capability without raw exception,"inline or route width","alert only when blocking; focus heading after navigation failure",task_120
Toast,Confirm background result,"message; optional undo; dismiss","success;error;info","enter;visible;exit;focus",audited mutation result bound to expected stateVersion and idempotency key,"above bottom nav 390; lower right 834 plus","role=status except blocking error; no focus steal; pause on hover/focus",task_120
