element_id,route,region,purpose,audience,classification,data_kind,data_source,control_contract,mobile_390,tablet_834,desktop_1440,states,a11y,privacy_boundary,owning_task
candidate.decision,/qa/candidates/:id,sticky decision area,Record owner QA outcome for immutable candidate,owner,confirmed,interactive,capabilities from GET /api/ui/v1/qa/candidates/:id,Unavailable unless exact candidate capability stateVersion and owner authority are current,disabled sticky bar,disabled sticky bar,disabled decision card,"disabled;focus;submitting;success;error;stale;permission","fieldset legend; confirmation dialog; restore focus to trigger; result assertive only on failure",Owner reauthentication and audit record required,task_84
release.queue,/releases,first main region,Scan release candidates and history,owner,inferred,dynamic,GET /api/ui/v1/releases?limit=50&cursor=:opaque,Rows link to /releases/:id,compact rows,master list,table,"loading;empty;error;offline;stale;permission;degraded","h1; list/table; text status",No secrets deployment tokens or customer data,task_84
release.detail,/releases/:id,first main region,Review exact RC reachability risk and rollback,owner,inferred,dynamic,GET /api/ui/v1/releases/:id,Approve release only when server capability allows,stacked,detail plus list,main plus inspector,"loading;error;offline;stale;permission;degraded","h1; ordered checks; confirm dialog",Owner credential required for approval,task_84
action.summary,/actions,first main region,Orient owner to decision volume and SLA,owner,confirmed,dynamic,GET /api/ui/v1/actions?view=active&limit=50&cursor=:opaque,Read only; history uses view=history,compact title and summary,same,same,"loading;empty;error;offline;stale;permission;degraded","h1; overdue count not color-only",Aggregate counts only,task_84
action.qa_group,/actions,decision group,Review QA decisions,owner,confirmed,dynamic,GET /api/ui/v1/actions?group=qa&limit=50&cursor=:opaque,Rows link to /qa/candidates/:id; primary Review candidate,compact rows,compact rows,compact rows,"loading;empty;error;offline;stale;permission;degraded","section label; list; one primary action per row",No test credentials or prompt content,task_84
action.release_group,/actions,decision group,Review release approvals,owner,confirmed,dynamic,GET /api/ui/v1/actions?group=release&limit=50&cursor=:opaque,Rows link to /releases/:id; primary action follows capability,compact rows,compact rows,compact rows,"loading;empty;error;offline;stale;permission;degraded","section label; list; one primary action per row",No production credentials or hidden risks,task_84
action.exception_group,/actions,decision group,Resolve engineering exception explicitly,owner,confirmed,dynamic,GET /api/ui/v1/actions?group=exception&limit=50&cursor=:opaque,Primary Open task; mutation follows capability,compact rows,compact rows,compact rows,"loading;empty;error;offline;stale;permission;degraded","section label; risk and age in text",Exception rationale audit-visible,task_84
action.incident_group,/actions,decision group,Acknowledge operational incident,owner,confirmed,dynamic,GET /api/ui/v1/actions?group=incident&limit=50&cursor=:opaque,Primary Inspect incident; acknowledgement follows capability,compact rows,compact rows,compact rows,"loading;empty;error;offline;stale;permission;degraded","section label; severity text and icon",Lock-screen-safe summary only,task_84
action.row,/actions,group row,Make one bounded decision scannable,owner,confirmed,dynamic,data from bounded /api/ui/v1/actions envelope,Exactly one visible primary action; secondary actions in named menu,stacked metadata with trailing action,inline metadata with trailing action,grid row with trailing action,"default;hover;focus;disabled;loading;error;stale;permission","44 px touch target; menu keyboard contract; age and SLA in text",No raw status prompt or full recovery checklist,task_84
operations.health,/operations,first main region,Show service storage queue and worker health,operator,confirmed,dynamic,GET /api/ui/v1/operations?section=health,Read-only links to scoped operations detail,stacked tiles,2-column tiles,4-column tiles,"loading;empty;error;offline;stale;permission;degraded","h1; status text plus icon",Paths truncated; logs redacted,task_121
operations.queues,/operations,main secondary,Inspect queues leases circuits and incidents,operator,confirmed,dynamic,GET /api/ui/v1/operations?section=queues&limit=50&cursor=:opaque,Mutations follow server capability and expected stateVersion,stacked disclosures,list-detail,tables plus inspector,"loading;empty;error;offline;stale;permission;degraded","tables; timestamps; destructive actions require confirm",Operator-only metadata; no credentials,task_121
operations.logs,/operations,diagnostic secondary,Inspect bounded redacted logs,operator,inferred,dynamic,GET /api/ui/v1/operations?section=logs&limit=50&cursor=:opaque,Download only when redaction capability allows,collapsed,collapsed,inspector,"loading;empty;error;permission;degraded","pre with accessible label; pause live updates",Secrets prompts and customer content always redacted,task_121
policies.lifecycle,/policies,first main region,Explain enforced lifecycle and gates,owner and operator,confirmed,dynamic,GET /api/ui/v1/policies?section=lifecycle,Read only unless scoped policy capability allows,stacked definitions,2-column sections,main plus inspector,"loading;empty;error;offline;stale;permission;degraded","h1; ordered lifecycle; current policy text",No token values or hidden system prompts,task_121
policies.roles,/policies,main secondary,Explain role authority model budget and review applicability,owner and operator,confirmed,dynamic,GET /api/ui/v1/policies?section=roles,Edit only when server capability allows,stacked,table,table,"loading;empty;error;offline;stale;permission;degraded","table caption; role names expanded",Budgets are aggregate; credentials never shown,task_121
policies.notifications,/policies,main secondary,Configure owner attention rules DND and escalation,owner,confirmed,dynamic,GET /api/ui/v1/policies?section=notifications,Edit only when server capability allows,stacked form summary,form,form,"loading;empty;error;offline;stale;permission;degraded","persistent labels; error summary; time-zone text",Notification previews are privacy-minimal,task_121
overlay.drawer,all,navigation drawer,Expose secondary destinations on narrow layouts,owner,confirmed,interactive,route configuration,Close only; links use approved GET routes,full-height modal drawer,optional collapsed rail,not used,"closed;open;focus;disabled","dialog label; focus trap; Escape; restore focus",No dynamic sensitive content,task_120
overlay.dialog,candidate and release,confirmation dialog,Confirm exact immutable subject and consequence,owner,confirmed,interactive,server-authorized capability and current stateVersion,Submission unavailable until actor-scoped action contract exists,full-screen inset,centered max 560 px,centered max 560 px,"closed;open;submitting;success;error;stale;permission","native dialog preferred; focus trap; Escape when safe; restore focus",Never show credential secret or raw prompts,task_120
feedback.banner,all,route feedback,Explain offline stale permission and degraded conditions,owner,confirmed,dynamic,schemaVersion generatedAt stateVersion and capability envelope,Retry only when safe and idempotent,full width below header,same,same,"loading;error;offline;stale;permission;degraded","role=status for nonurgent; alert for blocking errors; not repeated",Message omits local paths and raw exceptions,task_120
feedback.toast,all,ephemeral feedback,Confirm non-navigation action,owner,inferred,dynamic,audited mutation result bound to expected stateVersion,Undo only for supported reversible mutations,bottom above nav,bottom-right,bottom-right,"success;error;info","status; focus stays; 8 second minimum for action toast",No sensitive payload,task_120
